Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal
1190380701,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot
1068332458,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print
1220707172,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid
1219677488,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null
1113094204,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid
985292672,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null
1117293701,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid
898481530,Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal
1055411544,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid
1162628131,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null
624314841,cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid
830467746,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork
840857118,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork
1113221101,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid
1122989777,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid
768517084,Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork
1139843344,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid
1235426503,Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print
942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped
629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot
851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid
1150275464,Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid
1026634314,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal
978773911,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid
827791337,party,High,4.7,M,Spring,o-neck,threequarter,null,null,null,null,print
640823350,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork
801861988,vintage,Average,4.6,free,Winter,o-neck,full,natural,null,chiffon,null,print
1060207186,Brief,Average,0,M,Automn,o-neck,short,natural,cotton,null,null,print
1054679816,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid
941190190,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid
943844640,Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid
661795386,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid
875312593,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork
971387676,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,null,null,print
1021185637,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork
1163826114,Sexy,Average,0,M,Winter,o-neck,short,natural,null,null,lace,solid
735635595,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric
1175184188,Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot
679415939,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid
884147971,Casual,Medium,0,L,Winter,boat-neck,full,empire,null,null,null,solid
841203385,Sexy,Low,5,free,Summer,v-neck,sleevless,empire,null,chiffon,null,animal
1117997056,Casual,Low,4.3,free,Summer,o-neck,sleevless,null,milksilk,null,null,animal
1160536550,Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid
828623528,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid
763708514,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric
1153442065,Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork
743729613,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,null,null,solid
1000493051,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,null,null,lace,solid
911085061,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,null,null,print
1174854264,work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork
1053296757,cute,High,0,M,Spring,v-neck,full,natural,rayon,null,null,solid
1033843327,Casual,Average,0,free,Spring,o-neck,short,natural,cotton,null,hollowout,plaid
1083779666,Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,null,animal
746255172,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid
1100974555,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid
1019134411,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid
1072477320,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid
638423913,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,null,null,patchwork
936425780,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid
1146088956,Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,null,null,solid
864253055,bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,null,print
1210582154,sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid
926480831,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid
757260823,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid
630561922,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,null,null,solid
734061929,Casual,Low,4.7,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot
842060995,Casual,Average,5,XL,Winter,boat-neck,full,null,cotton,null,null,geometric
1078431253,Casual,Low,0,free,Spring,v-neck,sleevless,null,cotton,null,null,print
939770391,Casual,Average,0,free,Spring,o-neck,sleevless,natural,null,chiffon,null,solid
943188872,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,null,polyster,null,null,null
1130994272,Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal
907117649,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid
967999477,Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,null,striped
944656411,vintage,Low,4.6,M,Summer,o-neck,short,natural,null,chiffon,null,print
1096779299,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid
1036333255,Casual,low,4.9,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork
1065316076,Casual,Low,0,S,Automn,o-neck,full,natural,null,null,beading,solid
995802744,Sexy,Average,4,S,Automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork
1018110870,Sexy,Low,5,M,Automn,o-neck,full,natural,null,chiffon,lace,print
850586379,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid
1169895668,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork
688966772,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,null,pockets,solid
1194626925,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid
876708804,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid
1118628066,Casual,Medium,0,S,Spring,v-neck,full,null,null,null,null,animal
1027818824,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid
891103323,Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,null,null,print
1166855026,Casual,Average,0,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print
1023850025,vintage,Low,4.8,S,Summer,o-neck,short,natural,null,chiffon,ruffles,print
805438829,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print
836788720,fashion,Average,4,free,Summer,open,full,null,cotton,null,sequined,solid
835787654,Casual,Average,4.7,L,Summer,v-neck,short,natural,null,null,null,print
1148457078,Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,null,patchwork
887476609,bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,null,animal
535968075,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid
892801580,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,null,button,solid
732650169,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot
680070369,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,null,null,solid
1002440915,Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid
737538048,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,null,null,null,lace,null
1104450248,Sexy,Average,0,L,Automn,v-neck,sleevless,empire,null,chiffon,null,patchwork
797673346,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid
1039982741,Casual,Average,0,M,Automn,o-neck,short,empire,polyster,null,applique,print
829087315,cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,null,chiffon,hollowout,solid
1032990258,party,Average,5,M,Spring,o-neck,halfsleeve,natural,null,null,null,null
939422280,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,null,chiffon,null,solid
974746803,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,null,patchwork
1018130478,Casual,Low,4.7,L,Automn,o-neck,full,null,cotton,chiffon,lace,print
956758119,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid
903426442,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid
861626197,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid
1077015977,vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,null
817870237,Sexy,Low,4.6,free,Spring,o-neck,full,natural,null,null,lace,leopard
1078996836,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,null,solid
881530990,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork
937046375,Casual,Average,4.4,M,Summer,o-neck,short,empire,null,null,lace,patchwork
870994067,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot
893330898,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid
822053936,party,Average,4.4,free,Automn,v-neck,threequarter,natural,null,null,null,solid
1059959935,Casual,Average,0,free,Spring,o-neck,short,null,cotton,null,lace,null
1197204708,Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,null,lace,solid
713439584,Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,null,null,patchwork
732736124,work,Average,4.6,M,Spring,v-neck,full,null,null,chiffon,null,null
709353440,cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,null,lace,solid
1031230798,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,null,chiffon,null,solid
1225512606,cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork
1158347154,Casual,Average,0,XL,Winter,o-neck,short,empire,polyster,null,button,solid
976975672,Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,null,print
520233308,Casual,Low,4.7,M,Automn,o-neck,full,null,cotton,null,null,solid
935827969,cute,Average,4.3,free,Summer,boat-neck,sleevless,null,null,null,null,null
1130624045,Sexy,Low,0,free,Automn,slash-neck,short,empire,null,null,hollowout,solid
547555172,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print
1083323104,Sexy,low,4.5,L,Spring,o-neck,sleevless,null,null,null,lace,solid
955188745,Casual,Average,4.7,M,Automn,o-neck,sleevless,null,cotton,null,null,animal
1140306858,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,lace,solid
895807023,cute,low,4.7,free,Summer,o-neck,sleevless,null,null,chiffon,null,print
818505402,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid
897981100,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,null,ruffles,solid
973481686,vintage,Average,4.3,free,winter,o-neck,short,null,chiffonfabric,chiffon,null,print
1021375534,cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid
549437715,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,null,solid
1097548715,vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,null,plaid
578702321,Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid
1155548915,vintage,High,0,L,Summer,o-neck,short,natural,cotton,null,null,print
1199064757,Casual,low,0,free,Spring,v-neck,threequarter,null,silk,null,lace,null
1078994436,Sexy,Average,0,S,Automn,slash-neck,short,natural,null,null,lace,solid
949226757,Casual,Low,0,free,Spring,o-neck,short,natural,null,null,hollowout,solid
832191944,cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,null,lace,solid
869572905,Casual,Low,4.7,free,Summer,o-neck,sleevless,null,null,null,null,print
896048351,Sexy,Low,4.8,free,Spring,v-neck,sleevless,null,null,null,sequined,solid
854444464,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,null,bow,patchwork
1246749980,vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print
849613634,Casual,Average,3.7,free,Automn,boat-neck,full,null,null,null,null,solid
1019768234,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork
785830491,cute,Average,0,XL,Spring,boat-neck,full,null,cotton,worsted,applique,dot
832391864,Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid
1069595866,sexy,Medium,5,M,Winter,o-neck,sleevless,empire,polyster,null,bow,solid
733715437,Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,null,null,null,solid
828949946,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,null,null,null,dot
765264430,Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,null,sashes,solid
722020708,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid
980295760,Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric
913978120,Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid
1062354779,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,null,chiffon,button,striped
1051749304,work,Average,0,S,Automn,o-neck,sleevless,natural,linen,null,null,patchwork
1206128856,Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,null,null,leopard
956453735,cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print
767971724,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork
722565148,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,null,null,leopard
1167448608,cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print
549159213,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,null,null,solid
940918554,Sexy,low,4.7,M,Winter,slash-neck,sleevless,null,nylon,null,sashes,solid
522776523,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,null,floral
658650071,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork
560474456,Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid
1150052066,bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,null,null,solid
929797706,Casual,Low,0,free,,o-neck,full,natural,cotton,null,null,patchwork
886351969,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid
1071947910,Sexy,Average,0,S,Automn,v-neck,sleevless,empire,cotton,null,beading,solid
813753347,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,null,null,solid
733134203,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,null,lace,solid
851256794,work,low,4.7,free,Summer,o-neck,full,empire,cotton,null,null,solid
751049573,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,null,rivet,solid
882490248,cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,null,print
541172235,Casual,Average,4.7,M,winter,o-neck,full,null,null,null,null,animal
727676110,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid
891631697,party,Average,5,free,Summer,v-neck,sleevless,null,null,null,null,null
1059306768,Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,null,patchwork
764321904,Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,null,lace,geometric
902108125,Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,null,embroidary,solid
874397327,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,null,null,dot
861698160,Casual,Average,4.1,M,Automn,v-neck,full,null,null,chiffon,sashes,null
981437831,Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,null,null
1036456647,Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid
951280194,work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,null,null,solid
1079373429,Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,null,null,null,null,null
747381880,vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,null,worsted,null,solid
1099363892,Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,null,solid
941333009,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,null,print
819651586,bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,null,sashes,print
1043590098,Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,null,null,striped
1091666465,Casual,Average,5,M,Winter,o-neck,sleevless,natural,null,chiffon,sashes,solid
863336720,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped
771972560,work,low,4.5,M,Winter,v-neck,threequarter,null,null,null,null,patchwork
756492184,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,null,lace,patchwork
1097157656,Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,null,dobby,lace,animal
573923366,sexy,Low,4.3,M,Automn,open,short,natural,lace,null,lace,print
756620535,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid
765350508,Casual,low,4.6,L,Winter,o-neck,full,null,cotton,null,null,null
968294356,Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,null,chiffon,sashes,solid
1017678811,Casual,low,0,free,Automn,peterpan-collor,threequarter,empire,null,null,null,null
933231033,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,null,chiffon,null,null
1199765487,Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,null,null,solid
965817793,Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,null,null,print
1074432879,Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,null,plaid
1132858821,Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,null,solid
905732124,Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,null,sashes,print
711045472,Casual,Average,4.8,M,Automn,v-neck,short,null,null,chiffon,embroidary,print
923983419,Casual,Average,5,free,Summer,v-neck,sleevless,null,modal,null,null,patchwork
733025646,Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,null,null,print
720099861,Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,null,striped
923915314,Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,null,null
1077555214,Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,null,null,print
1216538883,cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid
531254082,Casual,low,4.8,free,Spring,o-neck,sleevless,null,chiffonfabric,chiffon,null,print
890279029,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,null,applique,dot
995964089,bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,null,chiffon,ruffles,solid
868453353,Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,null,sashes,print
1024954013,Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid
685606338,Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,null,null,solid
877962269,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print
995644296,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,null,patchwork
1066273951,Casual,Average,3.5,M,winter,v-neck,short,natural,null,null,null,solid
822176645,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,null,null,null,print
659466129,Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid
694493217,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,null,sashes,striped
793162246,Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,null,broadcloth,null,print
817945281,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,null,button,solid
920902282,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,null,null,character
727820291,Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,null,solid
