Dataset,Element,Region,Sub-region,Year,Millions of metric tons
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2021, 694.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2031, 911.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2021, 349.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2031, 465.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,IFSA Countries,"IFSA Countries, Total",2021," 1,043.5 "
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,IFSA Countries,"IFSA Countries, Total",2031," 1,376.5 "
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,IFSA Countries,"IFSA Countries, Total",2021, 770.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,IFSA Countries,"IFSA Countries, Total",2031, 982.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,IFSA Countries,"IFSA Countries, Total",2021, 273.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,IFSA Countries,"IFSA Countries, Total",2031, 394.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2021, 481.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2031, 618.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2021, 171.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2031, 227.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,"Asia, Total",2021, 652.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,"Asia, Total",2031, 845.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,"Asia, Total",2021, 546.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,"Asia, Total",2031, 668.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,"Asia, Total",2021, 105.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,"Asia, Total",2031, 176.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2021, 13.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2031, 16.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2021, 23.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2031, 31.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Commonwealth of Independent States,2021, 37.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Commonwealth of Independent States,2031, 48.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Commonwealth of Independent States,2021, 21.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Commonwealth of Independent States,2031, 33.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Commonwealth of Independent States,2021, 16.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Commonwealth of Independent States,2031, 15.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and Southern Asia,2021, 334.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and Southern Asia,2031, 440.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and Southern Asia,2021, 79.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and Southern Asia,2031, 109.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Central and Southern Asia,2021, 413.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Central and Southern Asia,2031, 549.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Central and Southern Asia,2021, 394.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Central and Southern Asia,2031, 468.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Central and Southern Asia,2021, 18.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Central and Southern Asia,2031, 81.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Other Asia,2021, 9.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Other Asia,2031, 11.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Other Asia,2021, 14.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Other Asia,2031, 23.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Other Asia,2021, 24.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Other Asia,2031, 35.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Other Asia,2021, 16.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Other Asia,2031, 27.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Other Asia,2021, 7.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Other Asia,2031, 8.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Southeast Asia,2021, 123.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Southeast Asia,2031, 149.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Southeast Asia,2021, 53.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Southeast Asia,2031, 62.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Southeast Asia,2021, 176.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Southeast Asia,2031, 212.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Southeast Asia,2021, 114.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Southeast Asia,2031, 140.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Southeast Asia,2021, 62.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Southeast Asia,2031, 72.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2021, 24.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2031, 29.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2021, 35.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2031, 47.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2021, 59.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2031, 77.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2021, 20.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2031, 29.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2021, 39.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2031, 47.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,Central America and the Caribbean,2021, 8.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,Central America and the Caribbean,2031, 10.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,Central America and the Caribbean,2021, 13.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,Central America and the Caribbean,2031, 18.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,Central America and the Caribbean,2021, 21.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,Central America and the Caribbean,2031, 28.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,Central America and the Caribbean,2021, 5.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,Central America and the Caribbean,2031, 8.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,Central America and the Caribbean,2021, 15.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,Central America and the Caribbean,2031, 20.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,South America,2021, 16.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,South America,2031, 19.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,South America,2021, 22.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,South America,2031, 29.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,South America,2021, 38.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,South America,2031, 48.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,South America,2021, 14.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,South America,2031, 21.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,South America,2021, 23.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,South America,2031, 27.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,North Africa,"North Africa, Total",2021, 47.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,North Africa,"North Africa, Total",2031, 59.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,North Africa,"North Africa, Total",2021, 44.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,North Africa,"North Africa, Total",2031, 55.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,North Africa,"North Africa, Total",2021, 92.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,North Africa,"North Africa, Total",2031, 114.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,North Africa,"North Africa, Total",2021, 36.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,North Africa,"North Africa, Total",2031, 46.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,North Africa,"North Africa, Total",2021, 56.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,North Africa,"North Africa, Total",2031, 68.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2021, 141.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2031, 204.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2021, 98.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2031, 134.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2021, 239.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2031, 339.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2021, 167.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2031, 238.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2021, 72.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2031, 101.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Central Africa,2021, 7.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Central Africa,2031, 11.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Central Africa,2021, 7.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Central Africa,2031, 9.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Central Africa,2021, 15.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Central Africa,2031, 20.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Central Africa,2021, 7.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Central Africa,2031, 8.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Central Africa,2021, 8.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Central Africa,2031, 12.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,East Africa,2021, 50.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,East Africa,2031, 73.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,East Africa,2021, 23.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,East Africa,2031, 30.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,East Africa,2021, 73.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,East Africa,2031, 103.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,East Africa,2021, 61.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,East Africa,2031, 84.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,East Africa,2021, 12.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,East Africa,2031, 19.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Southern Africa,2021, 19.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Southern Africa,2031, 27.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Southern Africa,2021, 21.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Southern Africa,2031, 29.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Southern Africa,2021, 40.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Southern Africa,2031, 57.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Southern Africa,2021, 24.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Southern Africa,2031, 34.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Southern Africa,2021, 16.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Southern Africa,2031, 22.9 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,West Africa,2021, 63.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,West Africa,2031, 92.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,West Africa,2021, 45.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,West Africa,2031, 65.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,West Africa,2021, 109.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,West Africa,2031, 158.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,West Africa,2021, 74.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,West Africa,2031, 111.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2021, 34.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2031, 46.8 
