Public or Private,Apps received,Apps accepted,New students,Percent from top 10%,Percent from top 25%,FT undergrads,PT undergrads,in_state tuition,out_of_state tuition,room,board,fees,book costs,personal costs,PhD Faculty,faculty_student ratio,Graduation rate
2,7033,5125,1223,47,75,4941,1534,19040,19040,2690,3260,510,350,800,98,9.1,74
2,399,335,161,,25,736,29,13472,13472,5528,,,400,,74,9.6,74
2,1224,1101,338,55,84,1218,,16179,16179,2667,2427,70,510,780,75,12.4,74
1,572,544,320,45,72,1470,416,2013,6073,1260,2140,,550,1400,71,16.4,74
2,707,512,222,17,44,1671,1512,7350,7350,,,322,600,1500,52,13.6,74
1,13528,9198,1843,16,61,10168,1231,2650,6550,2950,1405,295,700,1560,93,17.4,74
2,8728,5201,1191,60,89,4265,291,17900,17900,3520,2170,100,450,1250,86,9.2,74
2,776,607,198,25,58,791,764,14340,14340,,,,500,1000,58,11.7,74
2,668,534,237,19,39,1306,258,9476,9476,2800,2020,44,500,1100,67,20.1,74
2,622,354,169,14,41,1145,1148,8800,8800,,,200,675,1500,44,11.2,74
2,1232,955,303,23,58,1241,485,14990,14990,2130,2600,180,550,1250,86,15.2,74
2,1179,780,290,38,64,1130,638,9690,9690,2495,2290,60,600,1000,60,13.3,74
2,1771,1325,306,21,46,1071,27,13840,13840,1850,1885,325,400,900,77,10.7,74
2,1721,1068,806,35,75,3128,213,5504,5504,1650,1878,1016,700,910,71,17.7,73
2,1133,630,220,37,73,750,30,17688,17688,3192,2708,1548,650,850,100,10.4,73
2,855,632,139,60,83,569,7,17238,17238,3500,3850,112,600,800,95,8.2,73
2,1498,1219,306,26,63,1369,1587,16530,16530,2795,3410,405,600,,81,8.9,73
2,1557,1227,489,37,69,1964,81,12315,12315,2165,2400,555,600,1365,85,12.5,73
2,246,217,171,,,674,472,4400,4400,,,95,534,,72,16.1,73
2,1899,1720,489,37,68,1594,32,13868,13868,2426,2400,1042,450,850,89,13.7,73
2,1732,1425,472,37,75,1830,110,16548,16548,2808,2598,424,500,600,82,11.3,73
2,2083,1725,430,22,49,1464,67,17480,17480,2250,2530,300,500,700,75,12.3,73
2,1109,922,375,24,46,1115,70,13240,13240,1634,2280,386,600,800,73,13.4,73
2,1163,850,348,23,56,878,519,12850,12850,5400,,260,400,800,78,12.2,73
2,342,254,126,25,64,518,232,10335,10335,,,260,700,850,71,8.3,73
1,8065,5257,2301,37,65,11755,770,3036,8116,1890,1720,,800,1618,82,18,73
2,1239,1134,611,,,1957,343,5775,5775,1450,1890,1110,500,1700,97,16.2,73
1,15712,11719,4277,29,53,18511,604,3926,10260,,,,740,2200,85,13.8,73
2,647,518,271,17,43,1014,387,9140,9140,1590,1815,70,500,2245,51,10.7,73
2,805,588,287,67,88,1376,207,11660,11660,2050,2430,120,400,900,74,14,72
2,657,537,113,37,90,1039,466,12474,12474,5678,,425,630,1278,53,11.9,72
2,7875,5062,1492,38,71,5471,1470,17450,17450,3998,2330,720,700,950,92,7.6,72
2,990,784,279,18,45,1811,3144,11290,11290,5360,,240,600,1800,76,12.6,72
2,440,396,221,26,51,910,166,9420,9420,1800,1930,,600,1230,51,9.9,72
2,800,623,256,41,76,801,5,12925,12925,1480,2715,250,500,635,78,9.9,72
2,20192,13007,3810,45,80,14971,3113,18420,18420,3920,2890,270,475,1025,80,11.9,72
2,699,565,176,36,64,710,399,13960,13960,,,150,450,690,82,14.4,72
2,823,347,237,,52,1055,803,7400,7400,,,90,600,2910,39,10.2,72
2,1712,1483,624,37,69,2505,208,12275,12275,1980,2361,84,465,1100,72,12.5,72
2,938,864,511,29,62,1715,103,12247,12247,1971,2250,88,500,600,70,13.1,72
2,672,596,278,29,60,1350,275,11844,11844,,,75,450,1146,54,11.6,72
2,910,776,208,,,618,40,14090,14090,2980,2415,,400,1000,,12.9,72
2,585,508,153,12,30,460,536,12292,12292,2370,2564,120,500,500,61,22.2,72
1,1879,1216,483,27,62,3311,1646,4188,8832,3764,1612,792,700,1850,92,13.5,72
2,1758,1485,419,27,58,2041,174,12040,12040,1750,2350,80,600,1100,92,13.2,72
2,707,614,168,10,30,801,464,8374,8374,4000,,,,,42,10.8,72
2,1286,1005,363,16,37,1363,74,13900,13900,2250,2050,,500,900,75,14,72
1,5818,3281,1116,14,53,5268,300,3086,7844,1952,1552,770,450,1700,80,18.8,72
2,4301,3455,1166,41,69,4892,387,12772,12772,2652,2426,,576,1802,74,13.5,72
2,1243,1020,414,33,60,2149,418,8678,8678,,,330,700,1736,82,16.2,72
2,6075,5349,2367,34,66,9919,484,6450,6450,2230,1690,570,600,1346,71,18.5,72
2,602,498,215,26,58,795,74,13470,13470,3225,2290,234,500,850,78,11.1,72
2,2227,1790,437,27,54,1460,239,13425,13425,,,,450,1200,85,13,72
2,1861,998,359,45,77,1220,46,16670,16670,2650,2250,155,750,800,80,10.5,72
1,14901,10932,4631,36,80,23945,2200,2737,9096,2050,2240,,535,1545,93,11.5,72
2,903,755,213,15,49,971,305,10500,10500,2100,2445,,600,600,66,14.1,72
2,125,87,67,22,59,208,,13400,13400,,,,300,1400,68,10.9,71
1,5099,466,277,72,97,930,,,,,,,,,31,8.3,71
1,9735,7187,2064,23,63,12478,1660,3824,11656,2552,2520,888,700,2300,89,16,71
2,1879,1658,497,36,69,1950,38,13353,13353,1622,1622,93,540,821,78,12.7,71
2,261,192,111,15,36,453,266,9690,9690,4300,,140,500,500,57,9.7,71
2,513,347,279,23,48,2508,505,9090,9090,4500,,,650,500,62,18.3,71
2,1738,1373,417,21,55,1335,30,18460,18460,2900,3070,120,700,850,92,13.2,71
1,18114,15096,6180,23,57,26640,4120,4103,10658,1646,2088,524,504,600,93,14,71
2,1093,1093,642,12,32,1770,967,7070,7070,1170,1330,152,400,1000,52,15.9,71
2,13594,7244,2505,70,86,12408,2814,17748,17748,,,991,450,1000,87,7.8,71
1,942,356,283,44,96,987,,,,,,4090,,75,68,12.8,71
2,599,494,224,8,28,1035,446,10518,10518,,6250,480,300,300,59,16.5,71
1,6011,3075,960,22,60,5146,1532,3086,7844,2200,1630,834,450,1258,72,16.8,71
2,936,794,197,24,56,752,210,11240,11240,2090,2090,160,350,2000,71,11.2,71
2,1475,1257,362,7,20,1393,278,14200,14200,6500,,75,500,,64,9.6,71
2,948,798,295,42,74,1120,15,11280,11280,,,125,400,1150,81,13,71
2,773,694,230,,,942,224,11478,11478,2450,2338,645,500,900,80,14.4,70
1,7837,4527,2276,89,99,8528,654,1899,6489,4438,,444,795,1164,92,19.3,70
2,1641,1283,527,20,39,1663,170,11200,11200,,,,500,1200,61,14.2,70
2,1016,872,300,27,57,1116,602,11250,11250,2130,2850,155,550,1400,66,15.8,70
2,897,718,276,12,48,1345,390,10450,10450,2310,1710,10,500,1500,56,14.1,70
2,759,729,244,57,81,867,51,10900,10900,2480,1970,450,500,1000,81,12.1,70
2,516,409,200,17,40,1238,30,8770,8770,3500,,590,450,700,58,17.3,70
1,7304,6263,2539,,,13244,1396,2725,6660,,,250,600,1000,66,20.4,70
2,933,800,444,18,45,1691,72,12247,12247,2160,1921,88,500,600,76,12,70
1,7313,4664,1910,20,63,9940,1035,740,6806,1420,1120,718,96,2000,83,18.3,70
2,3586,2424,730,16,31,2748,1309,13250,13250,,,215,700,3100,84,12.3,70
2,962,750,212,21,54,830,150,14700,14700,3600,2950,410,450,400,97,11.3,70
2,4996,4165,936,53,82,4291,16,17475,17475,,,550,1230,1100,94,15.4,70
2,7178,3755,1433,25,63,4623,740,7161,7161,1838,1680,603,600,2000,60,14,70
2,1756,1500,366,3,21,1524,280,12450,12450,2900,2500,100,450,870,62,12.4,70
1,7548,6791,3070,25,57,16262,1716,2100,6300,,,,600,1908,85,16.7,69
2,940,668,385,20,48,1316,139,11925,11925,1590,2235,,630,1926,48,12.3,69
1,16663,14141,3239,90,100,15638,693,,11218,,,4372,630,2045,96,18.9,69
2,4613,3587,1048,35,77,4545,873,15934,15934,2440,3960,210,450,800,,13.6,69
2,1415,714,338,18,52,1345,44,5120,5120,1260,1940,,500,2140,52,18.1,69
2,328,243,93,,,663,340,9980,9980,1500,2140,210,500,2980,44,12.3,69
2,1487,1276,388,26,51,1417,1646,11120,11120,4080,,30,525,1405,55,11.1,69
2,1420,1093,220,9,22,1018,287,8700,8700,4780,,480,450,1400,78,14.7,69
2,2007,1808,829,30,61,2917,82,10110,10110,1760,1405,100,450,800,,13.4,69
2,1056,873,385,15,38,1111,244,6950,6950,1900,1650,600,600,,60,11.9,69
2,2533,937,620,,,2360,144,9192,9192,649,1089,100,250,500,71,14.4,69
2,4731,3171,830,12,31,3557,658,10700,10700,2400,3525,290,550,1200,74,17.6,69
2,318,240,130,40,85,416,19,14900,14900,,,,600,500,93,8.3,69
2,2100,1883,553,29,65,1704,1,16240,16240,2160,2530,,500,500,84,11.1,69
2,2774,2092,482,35,64,1763,59,15800,15800,2390,2400,,450,950,97,12.3,69
2,268,253,103,16,44,494,1305,10000,10000,5364,,170,500,1000,56,11.2,69
2,1046,824,284,21,45,1223,451,10880,10880,5050,,860,400,1235,64,19.3,69
2,761,725,306,21,58,1337,300,10990,10990,1622,1622,125,600,1021,66,10.4,69
1,14474,10519,6392,49,85,31643,2798,840,5130,1772,1640,751,600,2144,89,23.1,69
2,817,644,307,20,40,945,1,13218,13218,1903,2870,415,660,600,95,13.3,69
2,1886,1524,526,31,67,2523,296,13000,13000,4450,,100,600,2400,78,14.7,69
2,1320,923,284,26,54,1085,81,16304,16304,1748,1868,170,355,715,87,11.1,69
1,1490,1490,771,21,47,2942,997,1440,2880,2400,,80,500,,58,19,68
2,12229,8498,2477,45,71,13259,1429,17230,17230,3566,2916,330,600,2210,90,11.4,68
2,1381,1040,374,20,44,1506,970,8025,8025,2100,2765,605,400,650,65,17.4,68
2,860,811,366,22,56,1040,52,9900,9900,1750,1325,,300,1800,68,14.9,68
1,16587,13243,5873,25,72,24763,2717,2984,9766,,,389,600,2000,77,21.3,68
2,589,575,148,16,40,474,258,8400,8400,1850,1400,120,500,1400,63,12.4,68
1,14438,12414,3816,12,39,16282,1940,2220,8566,1712,2185,3247,500,1400,88,16.7,68
2,1267,1080,385,44,73,1306,28,12572,12572,2226,2326,297,400,400,79,15.3,68
1,3073,2672,1547,9,29,9649,1792,2600,4300,2643,,300,450,1660,57,19,68
2,856,698,310,,,1617,102,11050,11050,1780,2220,,,,60,12.1,68
2,560,392,270,11,31,743,118,8734,8734,1966,1396,85,600,625,56,11.3,68
2,695,535,239,21,30,988,785,10200,10200,7000,,125,350,1100,63,11.7,68
2,4704,3798,1381,30,59,7176,2578,13968,13968,2604,3066,261,500,875,,10.8,68
2,325,260,86,21,47,699,717,9600,9600,2270,1932,210,450,750,39,10.5,68
2,1092,890,477,27,92,847,497,8670,8670,,,300,500,1450,42,11.3,68
2,1966,1436,327,47,80,1199,61,19960,19960,2690,2800,150,500,450,90,11.8,68
2,1658,1327,395,49,80,1595,159,14800,14800,4620,,90,400,790,91,13.3,68
2,395,318,166,,,807,1011,9358,9358,4264,,292,500,1000,58,10.9,68
2,1538,1259,468,19,42,1664,1042,11690,11690,2596,2466,40,600,1664,48,12.9,68
2,696,616,169,35,66,653,56,13970,13970,6110,,120,370,920,88,9.2,68
1,904,683,349,16,34,1191,,2980,9020,,,1420,600,1000,84,11.1,68
2,1470,900,287,20,49,1130,417,10900,10900,2800,2300,150,500,550,70,15.7,68
1,1801,1101,438,14,50,3065,363,1785,6297,,,60,600,1323,75,18.1,68
2,167,142,89,9,41,414,165,6500,6500,3000,,490,500,,38,10.7,67
2,2974,2001,580,29,60,2666,554,15192,15192,4695,,330,400,1350,84,15.9,67
2,792,649,186,56,87,769,377,12900,12900,4340,,60,600,4110,91,13.1,67
2,1283,1113,401,31,65,1355,40,10938,10938,1638,2022,141,650,600,76,13.5,67
2,1006,742,275,29,60,1127,205,13925,13925,2400,1990,125,500,2200,73,12.7,67
2,1231,1074,345,34,66,1295,105,11600,11600,1940,1670,120,400,850,66,12.4,67
1,21804,18744,5874,29,60,26213,4065,2884,9556,,,,570,1060,86,18.2,67
2,920,684,225,24,42,815,222,11200,11200,4250,,330,600,950,55,14.8,67
2,354,323,125,,10,372,28,15190,15190,3240,3240,675,400,500,46,8.9,67
2,700,650,314,33,66,1065,48,8730,8730,1824,1699,272,500,750,82,13.2,67
2,3294,2855,956,44,67,4576,1140,11690,11690,2300,2430,80,800,6800,84,4.6,67
2,771,643,229,14,37,1135,505,7420,7420,1720,1720,330,500,,55,13.7,67
2,949,786,302,30,70,1210,26,9990,9990,1850,1700,310,500,1500,85,15,67
2,861,609,215,10,27,1117,815,8650,8650,,,150,500,1750,69,16.1,67
2,10477,7260,2442,28,67,10142,117,15150,15150,3620,3250,360,635,960,73,11.3,67
1,9251,7333,3076,14,45,13699,1213,3070,7452,1968,1384,660,600,1700,81,21.1,67
2,3877,3156,713,71,93,3051,513,15700,15700,2960,1770,125,525,1460,95,2.9,67
2,709,602,225,15,37,1372,611,10230,10230,,4110,180,500,1000,59,13.3,67
2,1631,1431,434,15,36,1803,603,11150,11150,3100,2030,418,550,1260,78,13.3,67
2,167,130,46,16,50,199,676,11428,11428,2509,,118,450,475,67,8.3,67
2,659,557,167,47,74,532,35,10485,10485,1760,2080,660,475,1246,76,13.5,67
1,2807,2589,1701,13,37,7000,1103,1454,3811,1120,1070,1024,500,1970,62,15,67
2,1096,951,464,27,62,1776,239,8150,8150,1260,1890,450,400,500,61,13.6,67
2,1244,912,352,44,77,1177,43,11850,11850,2150,2525,,600,1050,83,11.3,67
2,1217,1088,496,36,69,1773,884,11505,11505,2055,1200,,1000,2075,35,16.7,67
1,4191,3090,1375,17,46,7198,998,2355,7142,1620,1338,,300,1230,,19.2,67
1,4400,3719,1472,12,38,7804,1552,2300,6950,2500,,,300,1200,90,23.1,67
2,1566,1400,483,28,55,1509,170,14200,14200,1750,2025,,450,1100,58,16.4,67
2,3821,2037,680,86,96,2488,625,18200,18200,3750,3020,70,500,700,95,11.6,66
1,15698,10775,2478,85,100,12677,864,4325,12024,,,,790,1818,96,16.1,66
1,19433,11469,2481,95,100,13738,711,,7699,,,4128,630,1935,100,13.9,66
2,3934,2735,886,40,70,3698,217,13600,13600,,,100,630,1820,93,15.6,66
1,14063,9320,3436,28,65,18465,1541,2230,12563,3811,,459,540,2319,90,19.9,66
2,5081,4040,1194,11,26,3768,1415,14220,14220,2300,3700,690,500,1440,61,10.7,66
1,12445,8836,3623,54,85,24470,3286,1820,7090,1960,2220,,630,1530,88,13.4,66
1,3306,2079,1071,42,89,10208,9310,1695,6597,2494,,80,800,3028,81,13.9,66
2,808,594,218,,,756,502,9490,9490,2248,1644,110,400,880,65,10.5,66
2,495,434,210,35,55,775,44,8950,8950,1470,2020,306,600,1900,86,11.3,66
2,674,565,282,25,54,1151,39,12200,12200,1470,2600,520,400,1200,73,14.2,66
2,75,75,47,,,263,127,3660,3660,690,1400,272,500,2310,33,11.3,66
2,979,743,259,25,46,1188,166,10100,10100,1740,2260,510,400,1000,88,12,66
2,4892,3530,913,13,33,3906,1446,10690,10690,,,270,570,1150,66,16,66
2,1368,1064,354,19,51,1687,677,10570,10570,3550,2050,190,400,800,86,14.5,66
1,4877,2798,814,13,48,4123,298,2650,6550,2500,1920,359,620,1481,82,16.3,66
2,1454,1267,424,20,41,1874,757,11431,11431,2467,2217,260,600,1700,43,17.4,66
2,1107,859,323,13,51,1452,402,11040,11040,2250,2250,400,600,700,65,11.8,66
2,875,744,207,7,38,1173,1402,9700,9700,4830,,350,400,1200,45,14.5,66
1,8586,6383,2503,25,59,13138,4289,4962,10786,2760,1800,454,400,900,93,7.8,66
2,1183,1016,411,42,82,1922,704,12669,12669,,,85,600,1250,83,16.8,66
2,2267,1827,611,20,59,2825,144,6735,6735,3395,,,600,1425,70,12.2,65
2,910,773,450,31,73,1310,61,6530,6530,2800,,100,500,1500,63,13.3,65
1,3467,2190,565,,,5637,678,1599,9979,4200,,1467,600,800,80,16.4,65
2,2459,1997,582,36,66,2664,299,16320,16320,,,330,646,1171,87,11.2,65
2,1292,956,315,,,1250,200,13900,13900,2450,3150,300,400,1100,69,19,65
2,3713,1237,443,47,83,1971,107,7000,7000,2565,3000,1222,660,2400,73,12.5,65
1,8427,7424,3441,26,59,18676,1715,2291,7550,3224,,162,640,2055,81,19.2,65
2,3579,2959,868,25,55,5244,3417,11500,11500,,,350,700,2000,94,6.2,65
2,1262,1102,276,14,40,978,98,9456,9456,,,186,468,1323,53,12.8,65
2,602,483,206,21,47,958,466,8620,8620,1900,2200,310,400,2250,58,11,65
1,3100,2150,825,3,20,3234,941,1408,5542,2600,1188,1746,500,1300,75,15.7,65
2,1209,942,214,31,60,822,46,15276,15276,2372,2946,,500,300,79,11.2,65
2,619,516,219,20,51,1251,767,11208,11208,4124,,,350,1615,55,12.7,65
1,2618,2288,1032,42,77,5524,414,3510,8127,1836,2142,126,900,1200,82,17,65
2,1006,825,328,34,73,1362,102,13252,13252,2026,2168,156,450,550,89,13,65
2,1202,1054,326,18,44,1410,299,13404,13404,2456,2704,210,450,1050,78,15.6,65
2,2220,1796,467,65,99,1919,334,10320,10320,,,420,450,650,68,14.2,65
2,7775,2836,2412,,,11785,1752,9400,9400,,,500,500,1350,72,29.3,65
1,5549,3583,853,9,40,5004,475,2650,6550,2520,1656,309,600,1380,80,17.9,65
2,1278,978,256,,,1525,798,12680,12680,,,90,525,1175,64,12.3,65
2,738,687,241,20,44,964,242,13780,13780,2004,2406,198,500,500,68,12.5,65
2,1383,1199,435,15,39,1380,846,11645,11645,2430,2100,,500,,,19.3,65
2,2464,1908,678,24,57,2693,691,10970,10970,1940,2340,50,500,1380,47,13.3,65
2,355,300,142,34,65,509,44,8664,8664,1630,1720,700,600,3000,65,10.7,65
1,14752,9572,5329,48,85,30017,5189,840,5130,1733,1576,1068,650,3140,91,19.7,65
1,12749,7025,3343,40,81,20356,4582,2907,8199,,,,708,2172,96,9,65
1,2593,1966,1030,9,32,6038,579,1916,6704,1404,1188,400,376,1750,78,21,65
1,1246,1246,553,8,22,1595,669,1782,4080,1488,1776,,600,2000,25,17.3,65
2,529,414,132,32,66,781,43,14100,14100,,3000,442,600,1370,,10.3,64
2,1538,1329,383,33,68,1140,10,15248,15248,1978,2345,125,550,800,71,12.2,64
2,368,317,159,20,49,806,542,10500,10500,2115,1440,100,500,2285,44,11.3,64
2,548,428,167,18,46,618,113,8958,8958,1862,1956,,300,1000,53,15.3,64
2,1006,837,317,33,65,1024,15,8200,8200,1540,1945,350,500,1200,84,10.6,64
2,1004,802,239,23,63,909,51,10440,10440,1960,1890,350,525,1450,63,11.8,64
2,484,384,177,9,45,634,78,7800,7800,2950,,,500,600,60,14.1,64
2,1480,1257,452,6,25,2961,572,9850,9850,6050,,,850,920,10,15.4,64
2,323,278,122,31,51,393,4,16150,16150,5450,,200,275,800,63,7.2,64
2,1209,750,265,19,54,820,159,11450,11450,5045,,500,900,2500,72,11.4,64
1,441,369,172,17,45,633,317,2700,6600,1830,1850,175,600,400,46,15.1,64
1,970,877,551,23,55,3105,2944,2916,9534,,,80,500,1000,70,17.7,64
2,4576,3565,1000,16,36,4384,1530,12000,12000,4358,2126,550,650,1000,81,14.4,64
1,4019,1579,710,23,65,4365,765,2288,3040,2775,1576,704,711,1125,78,19.5,64
2,2853,2193,753,16,34,2978,434,10750,10750,2750,2590,326,400,1130,90,14.6,64
2,983,664,249,23,57,1698,894,9990,9990,,,150,800,1500,66,14.3,64
2,1457,1045,345,27,50,1109,502,14990,14990,2860,2180,300,450,550,77,21.5,64
2,419,170,373,,,1022,169,,,,,,,,105,8.2,64
2,1307,1090,616,25,55,2196,82,7344,7344,2370,2040,126,570,1000,50,15.3,64
1,11023,8298,3183,21,54,14861,1310,3552,7629,2013,2082,357,550,2300,79,20.4,64
2,610,461,189,26,52,685,49,8200,8200,1600,1700,200,550,1000,63,12,64
2,4095,3079,1195,33,64,5064,660,8490,8490,1920,1400,990,650,2400,81,14.8,64
2,587,501,211,28,52,735,28,15200,15200,1840,2260,190,350,650,87,9.4,64
2,823,721,274,52,87,954,6,8800,8800,1935,1260,325,500,1200,82,13.1,63
1,4816,3922,1278,,75,11822,1343,,5904,2020,3030,1982,612,2100,,18.9,63
2,353,340,103,17,45,416,230,13290,13290,5720,,200,500,1500,90,11.5,63
2,1858,1221,480,37,68,1620,49,8050,8050,1960,1980,,350,2375,80,16.3,63
1,11220,7871,3320,43,79,19553,2748,1899,5697,1770,1830,453,525,1755,88,14.7,63
2,4815,3551,1227,30,58,6069,3719,11214,11214,1479,3453,30,600,,69,16.1,63
2,995,789,398,26,47,1306,122,6230,6230,3526,,32,400,600,42,13,63
2,1301,957,101,13,34,514,466,9500,9500,1950,1500,260,700,,47,13.9,63
1,1340,695,285,42,73,1315,209,4000,6800,4730,,915,675,1250,84,11.6,63
1,14292,10315,3409,22,53,19340,3991,2919,8723,2899,2247,561,550,1550,89,18.1,63
1,1796,1303,882,37,72,3493,3116,3440,10116,,,,466,1862,80,18,63
1,480,405,380,19,46,1673,1014,2244,4386,,,,600,1500,49,15.8,63
2,2087,1339,657,20,54,3191,1204,7550,7550,2790,,128,600,500,77,21.8,63
2,3624,2786,858,11,39,2933,334,9100,9100,1782,2101,150,490,1777,70,18.9,63
2,440,311,112,25,49,466,7,10000,10000,,,515,400,1100,65,11.4,63
1,8000,4556,1464,17,70,6943,869,2650,6550,2830,1980,311,500,1500,69,22,63
2,1002,857,606,,,1948,42,12584,12584,2892,1300,270,520,1390,86,5.2,63
1,6373,3264,1625,19,58,11375,1132,2954,7352,1200,1706,585,500,,77,20.6,63
2,2139,1492,502,24,64,2186,2171,12350,12350,,,,500,1350,88,12.6,63
1,3570,2215,651,17,41,3390,325,2954,7352,3620,,554,225,500,47,16.1,63
2,1190,978,324,12,30,1280,61,8840,8840,1800,1820,220,500,1200,57,16.2,63
1,19315,10344,3450,48,93,28938,2025,4966,10645,1840,2220,70,512,2394,77,18.1,63
1,2740,2497,1188,,,4828,605,3086,7844,1710,1214,792,550,1498,61,19.2,63
1,9643,7751,1968,12,40,8894,2456,3004,10330,3168,2390,1238,500,1250,84,16.6,63
1,7693,5815,2328,30,66,12594,3661,3196,8074,3522,,,495,2941,84,16.9,63
2,880,520,224,16,42,1068,364,9300,9300,1350,1910,120,600,900,81,11.1,63
2,681,588,246,44,74,1058,73,10760,10760,4030,2200,50,500,1200,85,13.4,63
2,1743,1625,626,8,29,1862,382,14134,14134,,5270,,500,800,71,13.1,63
2,4044,2826,688,51,83,2738,138,16230,16230,4500,,140,630,1800,79,15,63
1,9798,7566,1470,80,100,6922,265,,7699,,,4092,780,1350,98,13.4,62
2,2306,1721,538,23,48,4309,549,13226,13226,3846,2606,100,750,2450,86,13.6,62
1,1461,1097,580,10,22,2035,321,1772,4535,2754,,390,675,763,65,17,62
1,9224,8025,3262,23,52,15412,2878,2291,8149,,,164,640,2426,,13.1,62
2,495,465,275,18,35,695,193,7620,7260,998,1986,186,740,900,41,11.5,62
2,584,497,175,20,49,662,121,8000,8000,2300,1850,200,500,1300,57,11.3,62
2,1849,1228,492,19,51,2025,169,15200,15200,4590,3192,348,500,933,,18,62
2,1342,998,309,26,56,1079,,20655,20655,2000,3475,690,375,450,79,11.4,62
2,291,245,126,16,49,981,337,8390,8390,,,150,350,1500,45,21.5,62
2,662,553,184,20,43,665,37,10720,10720,1870,2180,200,600,1650,66,12.5,62
2,1412,1149,347,11,25,2045,359,7550,7550,2440,1610,750,600,,55,17.8,62
1,10634,7064,3176,39,78,16505,5481,874,8400,1640,1900,710,600,1300,92,17.5,62
1,5803,4441,1730,19,62,10099,3255,764,7248,,,693,600,1900,79,16.8,62
2,8256,3750,1522,37,70,5809,4379,11100,11000,1340,3420,350,660,1115,90,13.8,62
2,1132,847,302,58,89,1379,214,16200,16200,,,280,436,2486,90,10.4,62
2,895,548,314,20,54,1174,50,5500,5500,1590,1750,770,600,1600,68,16.1,62
2,315,242,108,,,410,15,7300,7300,2200,1750,390,450,,70,12.6,62
2,374,280,185,45,77,995,408,8550,8550,2000,1670,96,500,1344,75,12.6,62
1,2747,1870,724,12,47,2874,118,2606,7920,,,1640,550,2200,74,18.4,62
1,5702,4894,1742,15,37,8077,472,2924,6684,4110,,,500,900,73,19.6,62
2,1616,1427,434,20,43,1405,580,13125,13125,,,,500,1300,74,15.9,62
2,1680,1395,691,34,76,2959,402,8236,8236,3700,,,569,1650,74,14.7,61
1,4540,3294,1483,5,60,13494,1254,1802,7706,,,,600,1926,90,21.2,61
2,1154,1050,395,12,31,2192,1423,10560,10560,2030,2490,,500,1200,36,14.3,61
2,770,542,238,15,42,923,427,9990,9990,3822,,164,450,1540,38,10.4,61
2,404,400,169,28,48,797,100,6000,6000,3000,,130,500,500,48,13.4,61
2,1998,1376,651,41,88,1539,45,6700,6700,,,,500,2307,52,14.1,61
2,549,397,169,26,51,1343,1751,9250,9250,4550,,,425,1350,52,13.1,61
2,594,385,307,36,57,1695,721,5580,5580,1260,1210,308,600,700,77,16.5,61
1,3121,2446,822,5,19,3480,776,2590,7870,2727,1438,756,500,1150,73,16.1,61
2,285,246,126,20,45,411,,17430,17430,2790,2930,200,275,950,73,9.8,61
2,947,798,266,36,68,1274,471,10850,10850,5150,,200,550,800,77,13.6,61
2,3292,1317,707,,,3520,673,10258,10258,2950,2620,485,700,1250,75,21.6,61
2,3451,2934,1118,23,50,5306,1963,12348,12348,3630,2550,728,500,2280,,13.1,61
2,3304,2804,679,10,20,2111,1489,12520,12520,3060,2990,480,500,730,44,16.4,61
2,462,402,146,36,68,527,41,14500,14500,6000,,125,500,600,91,6.5,61
